id,exp_date,sub_age,sub_sex,aq_score,aq_category,block,trial,action_category,action,angle,recog_acc,recog_rt,conf_choice,conf_rt,recog_corr_box,recog_resp_box,days_elapsed
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,32,63,simple actions,To Push,180,1,16.36433969,0,,2,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,32,64,complex actions,To Clean,0,1,8.45730994,1,1.0014545,3,3,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,33,65,simple actions,To Lift,180,0,9.85673835,0,,3,4,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,33,66,complex actions,To Stretch,180,1,3.24901835,1,1.18519565,2,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,34,67,complex actions,To Play an Instrument,180,1,2.055581,1,1.21738813,3,3,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,34,68,simple actions,To Wave,0,0,3.99943994,0,,2,3,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,35,69,simple actions,To Lift,0,0,13.11149417,0,,1,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,35,70,complex actions,To Play a Sport,180,1,1.86274375,1,0.9868695,2,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,36,71,complex actions,To Argue,135,1,12.10020885,0,,1,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,36,72,simple actions,To Punch,247,1,3.16528718,1,0.88140494,3,3,148
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,1,1,simple actions,To Kick,247,0,16.80880061,0,,2,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,1,2,complex actions,To Stretch,180,0,18.65351884,1,2.23868456,3,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,2,3,complex actions,To Play an Instrument,247,1,17.80849561,1,1.03088509,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,2,4,simple actions,To Wave,135,1,10.35691055,0,,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,3,5,complex actions,To Stretch,0,1,8.52554316,0,,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,3,6,simple actions,To Jump,247,0,7.39660685,1,1.91291009,2,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,4,7,simple actions,To Kick,0,1,8.14041414,1,1.94539483,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,4,8,complex actions,To Hurry up,247,1,10.05041858,0,,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,5,9,complex actions,To Argue,247,0,26.77519478,1,1.22410479,3,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,5,10,simple actions,To Jump,0,1,8.24917003,0,,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,6,11,complex actions,To Clean,180,1,3.82120313,1,1.91005431,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,6,12,simple actions,To Grab,180,1,17.6730856,0,,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,7,13,complex actions,To Dance,135,1,27.04633963,1,0.94006417,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,7,14,simple actions,To Kick,135,1,4.53502441,0,,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,8,15,simple actions,To Punch,135,0,15.32944985,0,,3,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,8,16,complex actions,To Get Attention,180,1,5.38573018,1,1.02246887,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,9,17,complex actions,To Stretch,135,0,14.26263252,0,,1,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,9,18,simple actions,To Lift,247,1,17.22304931,1,1.46487746,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,10,19,simple actions,To Point,0,0,13.1802452,0,,2,3,75
